Source Label,Label,Adjusted Time,Target Label,Number of Records
Jane Tyler,emails,05-12-2015 00:56,Timothy Gibson,1
Jane Tyler,purchases,05-12-2015 01:12,Gail Feindt,1
Timothy Gibson,emails,05-12-2015 01:16,Jane Tyler,1
Timothy Gibson,purchases,05-12-2015 01:22,Gail Feindt,1
Timothy Gibson,purchases,05-12-2015 01:24,Gail Feindt,1
Timothy Gibson,emails,05-12-2015 01:43,Jane Tyler,1
Jane Tyler,emails,05-12-2015 01:44,Timothy Gibson,1
Jane Tyler,emails,05-12-2015 01:56,Timothy Gibson,1
Timothy Gibson,calls,05-12-2015 01:57,Jane Tyler,1
Jane Tyler,emails,05-12-2015 02:00,Timothy Gibson,1
Jane Tyler,purchases,05-12-2015 02:02,Gail Feindt,1
Timothy Gibson,emails,05-12-2015 02:05,Jane Tyler,1
Timothy Gibson,purchases,05-12-2015 02:26,Gail Feindt,1
Timothy Gibson,emails,05-12-2015 02:26,Jane Tyler,1
Timothy Gibson,emails,05-12-2015 02:29,Jane Tyler,1
Timothy Gibson,calls,05-12-2015 02:33,Jane Tyler,1
Jane Tyler,calls,05-12-2015 02:37,Timothy Gibson,1
Jane Tyler,calls,05-12-2015 02:38,Timothy Gibson,1
Timothy Gibson,emails,05-12-2015 02:40,Jane Tyler,1
Timothy Gibson,calls,05-12-2015 02:41,Jane Tyler,1
Jane Tyler,emails,05-12-2015 02:49,Timothy Gibson,1
Jane Tyler,purchases,05-12-2015 02:51,Gail Feindt,1
Jane Tyler,calls,05-12-2015 02:56,Timothy Gibson,1
Timothy Gibson,emails,05-12-2015 02:57,Jane Tyler,1
Jane Tyler,purchases,05-12-2015 02:57,Gail Feindt,1
Timothy Gibson,purchases,05-12-2015 02:58,Gail Feindt,1
Jane Tyler,emails,05-12-2015 03:04,Timothy Gibson,1
Timothy Gibson,calls,05-12-2015 03:26,Jane Tyler,1
Jane Tyler,calls,05-12-2015 03:28,Timothy Gibson,1
Jane Tyler,emails,05-12-2015 03:39,Timothy Gibson,1
Jane Tyler,emails,05-12-2015 03:41,Timothy Gibson,1
Jane Tyler,purchases,05-12-2015 03:48,Gail Feindt,1
Jane Tyler,calls,05-12-2015 03:54,Timothy Gibson,1
Jane Tyler,purchases,05-12-2015 04:10,Gail Feindt,1
Jane Tyler,emails,05-12-2015 04:12,Timothy Gibson,1
Jane Tyler,calls,05-12-2015 04:15,Timothy Gibson,1
Jane Tyler,purchases,05-12-2015 04:41,Gail Feindt,1
Jane Tyler,calls,05-12-2015 05:22,Timothy Gibson,1
Jane Tyler,emails,05-12-2015 05:26,Timothy Gibson,1
Timothy Gibson,emails,05-12-2015 05:37,Jane Tyler,1
Jane Tyler,purchases,05-12-2015 06:05,Gail Feindt,1
Jane Tyler,purchases,05-12-2015 06:19,Gail Feindt,1
Timothy Gibson,emails,05-12-2015 06:26,Jane Tyler,1
Timothy Gibson,purchases,05-12-2015 06:32,Gail Feindt,1
Timothy Gibson,calls,05-12-2015 06:39,Jane Tyler,1
Jane Tyler,purchases,05-12-2015 06:40,Gail Feindt,1
Timothy Gibson,purchases,05-12-2015 06:54,Gail Feindt,1
Jane Tyler,purchases,05-12-2015 07:06,Gail Feindt,1
Timothy Gibson,calls,05-12-2015 07:16,Jane Tyler,1
Timothy Gibson,emails,05-12-2015 08:12,Jane Tyler,1
Jane Tyler,emails,05-12-2015 08:15,Timothy Gibson,1
Jane Tyler,emails,05-12-2015 08:26,Timothy Gibson,1
Jane Tyler,purchases,05-12-2015 08:31,Gail Feindt,1
Timothy Gibson,emails,05-12-2015 08:51,Jane Tyler,1
Timothy Gibson,emails,05-12-2015 08:57,Jane Tyler,1
Jane Tyler,emails,05-12-2015 09:04,Timothy Gibson,1
Jane Tyler,emails,05-12-2015 09:10,Timothy Gibson,1
Timothy Gibson,calls,05-12-2015 09:22,Jane Tyler,1
Timothy Gibson,purchases,05-12-2015 09:24,Gail Feindt,1
Timothy Gibson,calls,05-12-2015 09:25,Jane Tyler,1
Timothy Gibson,emails,05-12-2015 09:30,Jane Tyler,1
Jane Tyler,purchases,05-12-2015 09:44,Gail Feindt,1
Timothy Gibson,emails,05-12-2015 10:02,Jane Tyler,1
Timothy Gibson,purchases,05-12-2015 10:16,Gail Feindt,1
Jane Tyler,purchases,05-12-2015 10:16,Gail Feindt,1
Jane Tyler,emails,05-12-2015 10:18,Timothy Gibson,1
Jane Tyler,calls,05-12-2015 10:26,Timothy Gibson,1
Timothy Gibson,purchases,05-12-2015 10:27,Gail Feindt,1
Jane Tyler,calls,05-12-2015 10:39,Timothy Gibson,1
Jane Tyler,purchases,05-12-2015 10:52,Gail Feindt,1
Timothy Gibson,purchases,05-12-2015 11:08,Gail Feindt,1
Timothy Gibson,emails,05-12-2015 11:10,Jane Tyler,1
Jane Tyler,purchases,05-12-2015 11:16,Gail Feindt,1
Timothy Gibson,purchases,05-12-2015 11:17,Gail Feindt,1
Jane Tyler,emails,05-12-2015 11:45,Timothy Gibson,1
Timothy Gibson,emails,05-12-2015 11:59,Jane Tyler,1
Jane Tyler,calls,05-12-2015 12:03,Timothy Gibson,1
Jane Tyler,emails,05-12-2015 12:11,Timothy Gibson,1
Jane Tyler,purchases,05-12-2015 12:16,Gail Feindt,1
Jane Tyler,emails,05-12-2015 12:37,Timothy Gibson,1
Timothy Gibson,calls,05-12-2015 13:23,Jane Tyler,1
Timothy Gibson,emails,05-12-2015 13:32,Jane Tyler,1
Timothy Gibson,emails,05-12-2015 13:59,Jane Tyler,1
Timothy Gibson,emails,05-12-2015 14:02,Jane Tyler,1
Jane Tyler,emails,05-12-2015 14:03,Timothy Gibson,1
Jane Tyler,purchases,05-12-2015 14:11,Gail Feindt,1
Timothy Gibson,calls,05-12-2015 14:11,Jane Tyler,1
Timothy Gibson,purchases,05-12-2015 14:11,Gail Feindt,1
Jane Tyler,calls,05-12-2015 14:12,Timothy Gibson,1
Timothy Gibson,purchases,05-12-2015 14:26,Gail Feindt,1
Jane Tyler,emails,05-12-2015 14:29,Timothy Gibson,1
Jane Tyler,purchases,05-12-2015 14:39,Gail Feindt,1
Timothy Gibson,calls,05-12-2015 14:58,Jane Tyler,1
Jane Tyler,emails,05-12-2015 15:14,Timothy Gibson,1
Jane Tyler,emails,05-12-2015 15:25,Timothy Gibson,1
Timothy Gibson,calls,05-12-2015 16:10,Jane Tyler,1
Jane Tyler,emails,05-12-2015 16:30,Timothy Gibson,1
Jane Tyler,calls,05-12-2015 16:48,Timothy Gibson,1
Timothy Gibson,calls,05-12-2015 17:01,Jane Tyler,1
Jane Tyler,calls,05-12-2015 17:10,Timothy Gibson,1
Jane Tyler,emails,05-12-2015 17:34,Timothy Gibson,1
Jane Tyler,purchases,05-12-2015 17:36,Gail Feindt,1
Jane Tyler,calls,05-12-2015 17:58,Timothy Gibson,1
Timothy Gibson,calls,05-12-2015 18:17,Jane Tyler,1
Jane Tyler,purchases,05-12-2015 18:30,Gail Feindt,1
Jane Tyler,calls,05-12-2015 19:04,Timothy Gibson,1
Timothy Gibson,purchases,05-12-2015 19:05,Gail Feindt,1
Timothy Gibson,emails,05-12-2015 19:11,Jane Tyler,1
Jane Tyler,emails,05-12-2015 19:27,Timothy Gibson,1
Jane Tyler,emails,05-12-2015 19:37,Timothy Gibson,1
Jane Tyler,calls,05-12-2015 19:39,Timothy Gibson,1
Jane Tyler,purchases,05-12-2015 19:39,Gail Feindt,1
Jane Tyler,purchases,05-12-2015 19:46,Gail Feindt,1
Timothy Gibson,purchases,05-12-2015 19:46,Gail Feindt,1
Jane Tyler,purchases,05-12-2015 20:46,Gail Feindt,1
Jane Tyler,purchases,05-12-2015 20:49,Gail Feindt,1
Timothy Gibson,calls,05-12-2015 20:49,Jane Tyler,1
Jane Tyler,purchases,05-12-2015 21:13,Gail Feindt,1
Timothy Gibson,purchases,05-12-2015 21:28,Gail Feindt,1
Jane Tyler,purchases,05-12-2015 21:42,Gail Feindt,1
Jane Tyler,purchases,05-12-2015 21:43,Gail Feindt,1
Jane Tyler,purchases,05-12-2015 21:54,Gail Feindt,1
Jane Tyler,purchases,05-12-2015 22:07,Gail Feindt,1
Jane Tyler,emails,05-12-2015 22:14,Timothy Gibson,1
Jane Tyler,calls,05-12-2015 22:24,Timothy Gibson,1
Jane Tyler,purchases,05-12-2015 22:40,Gail Feindt,1
Jane Tyler,purchases,05-12-2015 22:53,Gail Feindt,1
Jane Tyler,calls,05-12-2015 23:01,Timothy Gibson,1
Jane Tyler,purchases,05-12-2015 23:01,Gail Feindt,1
Timothy Gibson,purchases,05-12-2015 23:09,Gail Feindt,1
Timothy Gibson,calls,05-12-2015 23:16,Jane Tyler,1
Timothy Gibson,purchases,05-12-2015 23:16,Gail Feindt,1
Timothy Gibson,purchases,05-12-2015 23:20,Gail Feindt,1
Timothy Gibson,purchases,05-12-2015 23:57,Gail Feindt,1
Jane Tyler,purchases,5/13/2015 12:04:10 AM,Gail Feindt,1
Jane Tyler,calls,5/13/2015 12:26:13 AM,Timothy Gibson,1
Timothy Gibson,purchases,5/13/2015 12:32:06 AM,Gail Feindt,1
Jane Tyler,calls,5/13/2015 1:20:00 AM,Timothy Gibson,1
Jane Tyler,calls,5/13/2015 1:34:35 AM,Timothy Gibson,1
Timothy Gibson,emails,5/13/2015 1:53:12 AM,Jane Tyler,1
Timothy Gibson,purchases,5/13/2015 2:03:50 AM,Gail Feindt,1
Jane Tyler,emails,5/13/2015 2:26:02 AM,Timothy Gibson,1
Timothy Gibson,purchases,5/13/2015 2:28:07 AM,Gail Feindt,1
Timothy Gibson,calls,5/13/2015 2:31:57 AM,Jane Tyler,1
Timothy Gibson,purchases,5/13/2015 3:05:46 AM,Gail Feindt,1
Timothy Gibson,emails,5/13/2015 3:21:00 AM,Jane Tyler,1
Timothy Gibson,calls,5/13/2015 3:47:56 AM,Jane Tyler,1
Jane Tyler,emails,5/13/2015 3:49:00 AM,Timothy Gibson,1
Jane Tyler,emails,5/13/2015 4:06:18 AM,Timothy Gibson,1
Jane Tyler,emails,5/13/2015 4:07:39 AM,Timothy Gibson,1
Timothy Gibson,emails,5/13/2015 4:19:31 AM,Jane Tyler,1
Jane Tyler,purchases,5/13/2015 4:52:17 AM,Gail Feindt,1
Jane Tyler,purchases,5/13/2015 4:59:20 AM,Gail Feindt,1
Timothy Gibson,purchases,5/13/2015 4:59:38 AM,Gail Feindt,1
Timothy Gibson,calls,5/13/2015 5:45:17 AM,Jane Tyler,1
Timothy Gibson,calls,5/13/2015 5:55:31 AM,Jane Tyler,1
Jane Tyler,purchases,5/13/2015 6:06:56 AM,Gail Feindt,1
Jane Tyler,calls,5/13/2015 6:14:30 AM,Timothy Gibson,1
Timothy Gibson,calls,5/13/2015 6:15:41 AM,Jane Tyler,1
Jane Tyler,emails,5/13/2015 6:53:23 AM,Timothy Gibson,1
Timothy Gibson,emails,5/13/2015 7:05:48 AM,Jane Tyler,1
Timothy Gibson,purchases,5/13/2015 7:51:46 AM,Gail Feindt,1
Timothy Gibson,purchases,5/13/2015 7:59:57 AM,Gail Feindt,1
Jane Tyler,calls,5/13/2015 8:04:55 AM,Timothy Gibson,1
Timothy Gibson,purchases,5/13/2015 8:07:14 AM,Gail Feindt,1
Timothy Gibson,purchases,5/13/2015 8:09:45 AM,Gail Feindt,1
Jane Tyler,purchases,5/13/2015 8:20:17 AM,Gail Feindt,1
Timothy Gibson,purchases,5/13/2015 8:43:30 AM,Gail Feindt,1
Jane Tyler,purchases,5/13/2015 8:51:53 AM,Gail Feindt,1
Jane Tyler,emails,5/13/2015 9:09:42 AM,Timothy Gibson,1
Timothy Gibson,purchases,5/13/2015 9:39:08 AM,Gail Feindt,1
Jane Tyler,purchases,5/13/2015 9:53:02 AM,Gail Feindt,1
Jane Tyler,emails,5/13/2015 10:16:15 AM,Timothy Gibson,1
Jane Tyler,calls,5/13/2015 10:28:30 AM,Timothy Gibson,1
Jane Tyler,purchases,5/13/2015 11:10:01 AM,Gail Feindt,1
Timothy Gibson,purchases,5/13/2015 12:07:53 PM,Gail Feindt,1
Timothy Gibson,calls,5/13/2015 1:40:16 PM,Jane Tyler,1
Jane Tyler,emails,5/13/2015 1:40:43 PM,Timothy Gibson,1
Timothy Gibson,purchases,5/13/2015 2:00:34 PM,Gail Feindt,1
Jane Tyler,purchases,5/13/2015 2:25:08 PM,Gail Feindt,1
Jane Tyler,purchases,5/13/2015 2:37:16 PM,Gail Feindt,1
Jane Tyler,purchases,5/13/2015 2:37:33 PM,Gail Feindt,1
Jane Tyler,calls,5/13/2015 2:40:26 PM,Timothy Gibson,1
Jane Tyler,purchases,5/13/2015 2:45:02 PM,Gail Feindt,1
Jane Tyler,calls,5/13/2015 3:14:33 PM,Timothy Gibson,1
Jane Tyler,emails,5/13/2015 3:22:28 PM,Timothy Gibson,1
Jane Tyler,calls,5/13/2015 3:33:11 PM,Timothy Gibson,1
Jane Tyler,purchases,5/13/2015 3:42:48 PM,Gail Feindt,1
Timothy Gibson,calls,5/13/2015 3:52:30 PM,Jane Tyler,1
Timothy Gibson,purchases,5/13/2015 3:52:30 PM,Gail Feindt,1
Timothy Gibson,purchases,5/13/2015 4:49:50 PM,Gail Feindt,1
Jane Tyler,purchases,5/13/2015 5:16:22 PM,Gail Feindt,1
Timothy Gibson,calls,5/13/2015 6:13:13 PM,Jane Tyler,1
Timothy Gibson,emails,5/13/2015 6:35:27 PM,Jane Tyler,1
Timothy Gibson,purchases,5/13/2015 6:41:00 PM,Gail Feindt,1
Timothy Gibson,calls,5/13/2015 6:52:35 PM,Jane Tyler,1
Timothy Gibson,purchases,5/13/2015 6:52:35 PM,Gail Feindt,1
Timothy Gibson,calls,5/13/2015 6:57:05 PM,Jane Tyler,1
Jane Tyler,emails,5/13/2015 7:12:58 PM,Timothy Gibson,1
Jane Tyler,purchases,5/13/2015 7:13:06 PM,Gail Feindt,1
Jane Tyler,purchases,5/13/2015 7:23:51 PM,Gail Feindt,1
Jane Tyler,emails,5/13/2015 8:32:00 PM,Timothy Gibson,1
Jane Tyler,purchases,5/13/2015 8:40:40 PM,Gail Feindt,1
Timothy Gibson,emails,5/13/2015 9:18:14 PM,Jane Tyler,1
Timothy Gibson,purchases,5/13/2015 9:36:02 PM,Gail Feindt,1
Jane Tyler,calls,5/13/2015 10:36:38 PM,Timothy Gibson,1
Timothy Gibson,emails,5/13/2015 11:29:27 PM,Jane Tyler,1
Jane Tyler,purchases,5/13/2015 11:37:54 PM,Gail Feindt,1
Timothy Gibson,purchases,5/14/2015 12:39:49 AM,Gail Feindt,1
Jane Tyler,purchases,5/14/2015 1:57:15 AM,Gail Feindt,1
Timothy Gibson,emails,5/14/2015 2:41:26 AM,Jane Tyler,1
Timothy Gibson,purchases,5/14/2015 3:20:28 AM,Gail Feindt,1
Timothy Gibson,emails,5/14/2015 4:04:24 AM,Jane Tyler,1
Timothy Gibson,emails,5/14/2015 4:32:30 AM,Jane Tyler,1
Jane Tyler,purchases,5/14/2015 4:54:29 AM,Gail Feindt,1
Timothy Gibson,purchases,5/14/2015 5:38:22 AM,Gail Feindt,1
Jane Tyler,purchases,5/14/2015 5:39:45 AM,Gail Feindt,1
Jane Tyler,purchases,5/14/2015 5:45:04 AM,Gail Feindt,1
Jane Tyler,purchases,5/14/2015 5:46:17 AM,Gail Feindt,1
Jane Tyler,purchases,5/14/2015 5:47:49 AM,Gail Feindt,1
Timothy Gibson,emails,5/14/2015 5:55:43 AM,Jane Tyler,1
Timothy Gibson,purchases,5/14/2015 6:37:07 AM,Gail Feindt,1
Timothy Gibson,purchases,5/14/2015 7:02:45 AM,Gail Feindt,1
Jane Tyler,calls,5/14/2015 7:23:22 AM,Timothy Gibson,1
Jane Tyler,purchases,5/14/2015 7:50:49 AM,Gail Feindt,1
Timothy Gibson,purchases,5/14/2015 8:01:22 AM,Gail Feindt,1
Jane Tyler,emails,5/14/2015 8:15:44 AM,Timothy Gibson,1
Jane Tyler,purchases,5/14/2015 9:09:54 AM,Gail Feindt,1
Jane Tyler,emails,5/14/2015 9:45:34 AM,Timothy Gibson,1
Jane Tyler,calls,5/14/2015 9:53:26 AM,Timothy Gibson,1
Jane Tyler,emails,5/14/2015 10:13:17 AM,Timothy Gibson,1
Timothy Gibson,purchases,5/14/2015 10:40:28 AM,Gail Feindt,1
Jane Tyler,emails,5/14/2015 10:48:13 AM,Timothy Gibson,1
Timothy Gibson,calls,5/14/2015 11:09:42 AM,Jane Tyler,1
Jane Tyler,emails,5/14/2015 12:20:35 PM,Timothy Gibson,1
Jane Tyler,emails,5/14/2015 2:33:25 PM,Timothy Gibson,1
Timothy Gibson,purchases,5/14/2015 2:58:22 PM,Gail Feindt,1
Jane Tyler,emails,5/14/2015 3:00:43 PM,Timothy Gibson,1
Timothy Gibson,purchases,5/14/2015 3:05:17 PM,Gail Feindt,1
Jane Tyler,purchases,5/14/2015 4:17:49 PM,Gail Feindt,1
Timothy Gibson,emails,5/14/2015 4:21:33 PM,Jane Tyler,1
Timothy Gibson,calls,5/14/2015 4:30:54 PM,Jane Tyler,1
Jane Tyler,emails,5/14/2015 5:08:24 PM,Timothy Gibson,1
Jane Tyler,calls,5/14/2015 5:17:23 PM,Timothy Gibson,1
Timothy Gibson,purchases,5/14/2015 5:50:30 PM,Gail Feindt,1
Jane Tyler,purchases,5/14/2015 6:25:34 PM,Gail Feindt,1
Timothy Gibson,emails,5/14/2015 6:49:56 PM,Jane Tyler,1
Jane Tyler,emails,5/14/2015 6:51:27 PM,Timothy Gibson,1
Jane Tyler,purchases,5/14/2015 7:31:49 PM,Gail Feindt,1
Jane Tyler,purchases,5/14/2015 7:41:21 PM,Gail Feindt,1
Jane Tyler,calls,5/14/2015 8:04:29 PM,Timothy Gibson,1
Jane Tyler,purchases,5/14/2015 8:07:49 PM,Gail Feindt,1
Jane Tyler,purchases,5/14/2015 8:34:32 PM,Gail Feindt,1
Jane Tyler,purchases,5/14/2015 9:05:43 PM,Gail Feindt,1
Jane Tyler,purchases,5/14/2015 9:47:19 PM,Gail Feindt,1
Jane Tyler,emails,5/14/2015 11:21:45 PM,Timothy Gibson,1
Timothy Gibson,purchases,5/14/2015 11:24:26 PM,Gail Feindt,1
Timothy Gibson,calls,5/15/2015 12:00:37 AM,Jane Tyler,1
Timothy Gibson,purchases,5/15/2015 12:26:55 AM,Gail Feindt,1
Timothy Gibson,emails,5/15/2015 1:06:20 AM,Jane Tyler,1
Jane Tyler,purchases,5/15/2015 1:07:13 AM,Gail Feindt,1
Jane Tyler,calls,5/15/2015 1:19:24 AM,Timothy Gibson,1
Timothy Gibson,purchases,5/15/2015 1:41:10 AM,Gail Feindt,1
Timothy Gibson,purchases,5/15/2015 2:20:23 AM,Gail Feindt,1
Jane Tyler,purchases,5/15/2015 2:49:50 AM,Gail Feindt,1
Timothy Gibson,purchases,5/15/2015 3:36:33 AM,Gail Feindt,1
Jane Tyler,purchases,5/15/2015 4:44:18 AM,Gail Feindt,1
Timothy Gibson,purchases,5/15/2015 5:22:49 AM,Gail Feindt,1
Jane Tyler,emails,5/15/2015 5:24:50 AM,Timothy Gibson,1
Jane Tyler,calls,5/15/2015 5:34:48 AM,Timothy Gibson,1
Jane Tyler,emails,5/15/2015 6:10:59 AM,Timothy Gibson,1
Timothy Gibson,calls,5/15/2015 7:45:05 AM,Jane Tyler,1
Timothy Gibson,purchases,5/15/2015 7:45:05 AM,Gail Feindt,1
Jane Tyler,purchases,5/15/2015 7:56:39 AM,Gail Feindt,1
Jane Tyler,emails,5/15/2015 8:23:37 AM,Timothy Gibson,1
Timothy Gibson,purchases,5/15/2015 8:23:42 AM,Gail Feindt,1
Jane Tyler,purchases,5/15/2015 8:51:19 AM,Gail Feindt,1
Jane Tyler,emails,5/15/2015 9:54:34 AM,Timothy Gibson,1
Jane Tyler,purchases,5/15/2015 10:23:43 AM,Gail Feindt,1
Timothy Gibson,purchases,5/15/2015 10:28:38 AM,Gail Feindt,1
Jane Tyler,calls,5/15/2015 11:33:44 AM,Timothy Gibson,1
Jane Tyler,purchases,5/15/2015 11:33:44 AM,Gail Feindt,1
Timothy Gibson,calls,5/15/2015 11:52:41 AM,Jane Tyler,1
Timothy Gibson,emails,5/15/2015 12:05:23 PM,Jane Tyler,1
Jane Tyler,calls,5/15/2015 12:27:42 PM,Timothy Gibson,1
Timothy Gibson,purchases,5/15/2015 1:16:06 PM,Gail Feindt,1
Timothy Gibson,purchases,5/15/2015 2:09:31 PM,Gail Feindt,1
Jane Tyler,emails,5/15/2015 2:10:12 PM,Timothy Gibson,1
Jane Tyler,purchases,5/15/2015 2:10:22 PM,Gail Feindt,1
Timothy Gibson,calls,5/15/2015 2:20:36 PM,Jane Tyler,1
Timothy Gibson,purchases,5/15/2015 2:56:42 PM,Gail Feindt,1
Timothy Gibson,purchases,5/15/2015 4:24:52 PM,Gail Feindt,1
Timothy Gibson,emails,5/15/2015 5:03:38 PM,Jane Tyler,1
Timothy Gibson,emails,5/15/2015 6:02:04 PM,Jane Tyler,1
Timothy Gibson,purchases,5/15/2015 6:02:05 PM,Gail Feindt,1
Timothy Gibson,emails,5/15/2015 6:02:16 PM,Jane Tyler,1
Timothy Gibson,purchases,5/15/2015 6:27:39 PM,Gail Feindt,1
Jane Tyler,purchases,5/15/2015 6:47:34 PM,Gail Feindt,1
Jane Tyler,purchases,5/15/2015 6:57:51 PM,Gail Feindt,1
Jane Tyler,emails,5/15/2015 7:50:50 PM,Timothy Gibson,1
Jane Tyler,purchases,5/15/2015 7:52:40 PM,Gail Feindt,1
Jane Tyler,emails,5/15/2015 9:07:37 PM,Timothy Gibson,1
Jane Tyler,purchases,5/15/2015 9:11:28 PM,Gail Feindt,1
Jane Tyler,purchases,5/15/2015 9:15:18 PM,Gail Feindt,1
Jane Tyler,purchases,5/15/2015 9:18:18 PM,Gail Feindt,1
Timothy Gibson,purchases,5/15/2015 9:24:55 PM,Gail Feindt,1
Timothy Gibson,calls,5/15/2015 9:36:39 PM,Jane Tyler,1
Jane Tyler,purchases,5/15/2015 9:45:35 PM,Gail Feindt,1
Timothy Gibson,purchases,5/15/2015 10:37:53 PM,Gail Feindt,1
Timothy Gibson,calls,5/15/2015 10:47:51 PM,Jane Tyler,1
Jane Tyler,purchases,5/15/2015 11:38:20 PM,Gail Feindt,1
Jane Tyler,emails,5/16/2015 1:22:36 AM,Timothy Gibson,1
Jane Tyler,purchases,5/16/2015 1:43:46 AM,Gail Feindt,1
Jane Tyler,purchases,5/16/2015 1:47:07 AM,Gail Feindt,1
Timothy Gibson,emails,5/16/2015 2:07:54 AM,Jane Tyler,1
Jane Tyler,emails,5/16/2015 2:57:42 AM,Timothy Gibson,1
Jane Tyler,emails,5/16/2015 3:02:00 AM,Timothy Gibson,1
Timothy Gibson,purchases,5/16/2015 3:37:33 AM,Gail Feindt,1
Timothy Gibson,emails,5/16/2015 3:51:08 AM,Jane Tyler,1
Timothy Gibson,purchases,5/16/2015 6:02:57 AM,Gail Feindt,1
Jane Tyler,purchases,5/16/2015 6:03:22 AM,Gail Feindt,1
Timothy Gibson,purchases,5/16/2015 6:22:21 AM,Gail Feindt,1
Timothy Gibson,emails,5/16/2015 6:36:31 AM,Jane Tyler,1
Timothy Gibson,emails,5/16/2015 7:28:11 AM,Jane Tyler,1
Timothy Gibson,purchases,5/16/2015 8:12:42 AM,Gail Feindt,1
Jane Tyler,emails,5/16/2015 8:14:54 AM,Timothy Gibson,1
Jane Tyler,purchases,5/16/2015 8:48:50 AM,Gail Feindt,1
Jane Tyler,purchases,5/16/2015 10:04:44 AM,Gail Feindt,1
